pickup,destination,distance,time,passengers,payment_type,temperature,weather_condition,traffic_condition,fare_amount
Butwal,Birgunj,4.5,19,3,cash,19,clear,light,745
Patan,Biratnagar,3.9,60,1,credit card,16,cloudy,heavy,1828
Bhaktapur,Lalitpur,4.0,21,4,credit card,30,rainy,light,1096
Biratnagar,Lalitpur,0.6,55,2,cash,30,rainy,heavy,1210
Chitwan,Bhaktapur,4.4,21,1,cash,21,rainy,light,806
Butwal,Birgunj,3.7,42,4,credit card,19,clear,heavy,1733
Chitwan,Biratnagar,6.2,21,4,credit card,26,cloudy,heavy,1861
Biratnagar,Kathmandu,7.5,29,3,cash,28,rainy,heavy,1931
Dharan,Patan,3.3,48,3,cash,22,rainy,light,1025
Patan,Butwal,4.9,33,3,credit card,17,cloudy,light,1157
Birgunj,Biratnagar,3.9,55,3,cash,23,clear,heavy,1593
Bhaktapur,Patan,9.0,43,3,credit card,17,clear,heavy,2626
Dharan,Chitwan,3.2,18,3,credit card,19,cloudy,light,780
Chitwan,Birgunj,0.7,19,2,cash,28,cloudy,heavy,562
Chitwan,Lalitpur,2.9,59,1,cash,19,rainy,light,1043
Lalitpur,Kathmandu,1.1,14,3,credit card,28,rainy,moderate,577
Bhaktapur,Butwal,7.1,11,4,cash,19,rainy,light,1101
Patan,Biratnagar,4.2,51,2,cash,15,clear,light,1000
Dharan,Lalitpur,8.8,51,4,cash,30,rainy,heavy,2649
Butwal,Dharan,2.8,47,2,cash,24,cloudy,light,881
Birgunj,Dharan,5.7,45,2,credit card,23,clear,heavy,1973
Birgunj,Butwal,5.5,46,2,cash,15,clear,moderate,1069
Pokhara,Chitwan,6.0,34,3,cash,26,rainy,moderate,1189
Dharan,Kathmandu,4.6,18,4,credit card,23,rainy,heavy,1699
Lalitpur,Birgunj,4.8,6,2,credit card,28,cloudy,heavy,1109
Kathmandu,Lalitpur,6.3,54,1,cash,18,cloudy,light,1215
Bhaktapur,Kathmandu,4.2,32,3,credit card,25,cloudy,heavy,1569
Dharan,Kathmandu,4.7,15,4,credit card,20,rainy,heavy,1601
Kathmandu,Dharan,4.7,47,1,cash,30,cloudy,light,989
Patan,Lalitpur,8.2,28,1,credit card,17,cloudy,moderate,1370
Dharan,Lalitpur,7.8,46,3,cash,24,rainy,moderate,1519
Pokhara,Lalitpur,8.7,60,2,cash,26,cloudy,heavy,2339
Dharan,Patan,1.4,19,1,credit card,25,clear,heavy,718
Chitwan,Birgunj,0.8,35,4,cash,18,clear,moderate,654
Biratnagar,Kathmandu,3.6,56,2,credit card,17,rainy,light,1387
Pokhara,Biratnagar,2.4,38,1,cash,22,cloudy,moderate,670
Bhaktapur,Patan,8.8,33,2,cash,21,rainy,heavy,2150
Dharan,Pokhara,7.6,42,1,credit card,19,cloudy,heavy,2221
Biratnagar,Pokhara,3.0,42,4,cash,21,cloudy,moderate,942
Butwal,Patan,8.7,44,1,credit card,23,clear,heavy,2474
Biratnagar,Pokhara,7.5,28,1,credit card,15,rainy,heavy,2169
Birgunj,Biratnagar,3.9,50,4,credit card,24,rainy,moderate,1448
Kathmandu,Butwal,6.6,36,4,cash,20,clear,moderate,1268
Lalitpur,Bhaktapur,5.0,37,4,credit card,29,clear,light,1267
Biratnagar,Kathmandu,7.3,10,4,credit card,30,clear,light,1204
Patan,Bhaktapur,5.6,11,4,credit card,15,clear,moderate,1007
Biratnagar,Dharan,3.9,42,3,cash,25,rainy,heavy,1574
Chitwan,Pokhara,8.3,9,1,cash,27,rainy,heavy,1591
Butwal,Lalitpur,2.9,43,1,credit card,19,cloudy,moderate,971
Chitwan,Kathmandu,5.2,12,1,credit card,19,rainy,heavy,1410
Pokhara,Chitwan,0.7,56,3,cash,30,cloudy,light,741
Biratnagar,Pokhara,3.2,10,4,credit card,20,rainy,heavy,1244
Dharan,Birgunj,9.8,48,3,cash,22,rainy,light,1752
Dharan,Bhaktapur,7.9,22,4,credit card,20,clear,moderate,1459
Biratnagar,Birgunj,2.9,10,3,credit card,15,rainy,heavy,1019
Bhaktapur,Chitwan,7.0,36,1,credit card,15,rainy,heavy,2149
Birgunj,Butwal,8.5,29,2,cash,24,rainy,heavy,1997
Patan,Pokhara,5.2,58,3,credit card,22,cloudy,moderate,1470
Chitwan,Bhaktapur,1.2,50,4,cash,30,clear,light,815
Patan,Butwal,6.7,29,2,credit card,25,rainy,heavy,2116
Pokhara,Bhaktapur,4.2,18,1,cash,23,clear,heavy,985
Dharan,Chitwan,2.6,55,4,cash,23,clear,heavy,1513
Chitwan,Birgunj,6.0,45,3,cash,26,rainy,moderate,1285
Kathmandu,Lalitpur,0.9,36,3,credit card,23,rainy,moderate,761
Patan,Birgunj,0.7,58,2,cash,25,clear,heavy,1080
Lalitpur,Bhaktapur,9.4,42,3,credit card,23,rainy,moderate,2023
Patan,Birgunj,4.0,32,1,cash,25,rainy,moderate,891
Chitwan,Pokhara,6.4,39,4,credit card,15,clear,moderate,1511
Dharan,Butwal,7.2,32,2,credit card,28,cloudy,heavy,2034
Birgunj,Pokhara,3.4,15,4,cash,27,clear,heavy,1080
Pokhara,Lalitpur,5.1,34,3,cash,28,rainy,heavy,1609
Kathmandu,Pokhara,9.3,32,3,cash,21,cloudy,light,1357
Lalitpur,Biratnagar,9.3,39,4,cash,16,cloudy,heavy,2301
Butwal,Biratnagar,4.5,50,3,cash,21,rainy,light,1210
Butwal,Patan,9.3,30,4,credit card,20,cloudy,heavy,2556
Chitwan,Butwal,3.7,33,3,credit card,29,clear,heavy,1543
Biratnagar,Chitwan,2.8,13,4,credit card,19,rainy,heavy,1199
Kathmandu,Biratnagar,9.2,13,4,credit card,27,cloudy,heavy,2203
Birgunj,Bhaktapur,3.3,50,1,cash,18,rainy,light,939
Patan,Butwal,7.8,42,2,cash,19,rainy,moderate,1427
Bhaktapur,Biratnagar,3.9,46,2,credit card,16,cloudy,moderate,1175
Birgunj,Patan,5.6,38,2,cash,25,rainy,moderate,1169
Pokhara,Patan,8.5,23,3,credit card,20,rainy,heavy,2435
Dharan,Pokhara,2.6,34,3,credit card,27,cloudy,heavy,1313
Bhaktapur,Birgunj,9.8,52,4,cash,26,rainy,light,1914
Patan,Biratnagar,7.2,16,2,cash,19,clear,light,933
Chitwan,Biratnagar,1.7,10,1,credit card,28,cloudy,heavy,596
Chitwan,Pokhara,3.7,40,1,credit card,27,rainy,heavy,1664
Chitwan,Dharan,8.1,37,3,cash,15,cloudy,heavy,2019
Birgunj,Bhaktapur,6.6,32,1,cash,15,clear,moderate,1048
Butwal,Patan,5.5,48,3,credit card,30,clear,heavy,2077
Kathmandu,Patan,2.9,33,2,credit card,21,clear,light,911
Bhaktapur,Pokhara,6.0,50,2,cash,23,cloudy,moderate,1222
Kathmandu,Birgunj,0.5,45,2,credit card,19,clear,heavy,1088
Patan,Butwal,1.2,18,3,credit card,15,cloudy,heavy,781
Biratnagar,Birgunj,4.8,44,2,credit card,21,rainy,heavy,2059
Kathmandu,Butwal,3.3,43,3,cash,28,cloudy,heavy,1401
Butwal,Pokhara,7.5,30,4,credit card,24,cloudy,heavy,2256
Bhaktapur,Kathmandu,4.1,41,4,credit card,16,rainy,light,1314
Biratnagar,Patan,3.1,18,3,cash,29,rainy,heavy,1027
Kathmandu,Birgunj,1.2,36,1,cash,28,clear,light,578
Chitwan,Pokhara,9.3,51,3,credit card,29,cloudy,moderate,1930
Butwal,Dharan,5.3,26,2,credit card,25,clear,moderate,1081
Patan,Chitwan,5.5,50,4,cash,24,cloudy,light,1256
Birgunj,Pokhara,7.1,29,1,cash,28,cloudy,heavy,1577
Biratnagar,Pokhara,2.5,48,4,cash,24,clear,moderate,952
Birgunj,Butwal,9.8,31,4,credit card,25,clear,heavy,2675
Bhaktapur,Kathmandu,9.1,36,4,credit card,19,clear,moderate,1733
Lalitpur,Bhaktapur,2.5,14,2,cash,27,clear,heavy,752
Bhaktapur,Butwal,1.5,45,3,cash,16,clear,moderate,712
Dharan,Kathmandu,7.5,35,2,cash,15,cloudy,heavy,1784
Pokhara,Butwal,8.5,54,2,credit card,24,cloudy,heavy,2678
Bhaktapur,Dharan,9.7,24,4,cash,28,rainy,heavy,2279
Bhaktapur,Patan,8.7,53,2,credit card,15,rainy,light,1985
Dharan,Bhaktapur,2.9,52,2,credit card,28,rainy,heavy,1766
Kathmandu,Chitwan,9.9,5,1,cash,24,rainy,light,1168
Butwal,Lalitpur,6.6,15,4,credit card,16,cloudy,moderate,1262
Bhaktapur,Pokhara,9.6,12,3,cash,16,cloudy,moderate,1217
Pokhara,Dharan,3.7,57,4,credit card,17,cloudy,heavy,2006
Kathmandu,Patan,6.8,13,2,credit card,16,clear,moderate,1087
Chitwan,Biratnagar,5.1,50,4,credit card,19,rainy,heavy,2352
Kathmandu,Bhaktapur,5.3,40,3,credit card,25,clear,moderate,1290
Birgunj,Pokhara,4.0,48,3,credit card,23,cloudy,light,1282
Bhaktapur,Lalitpur,1.5,12,1,cash,28,clear,light,342
Dharan,Kathmandu,1.0,9,1,cash,22,rainy,light,247
Dharan,Kathmandu,2.4,35,3,credit card,17,cloudy,heavy,1301
Kathmandu,Lalitpur,4.1,42,1,cash,29,cloudy,moderate,861
Dharan,Pokhara,1.9,43,4,cash,17,clear,moderate,812
Birgunj,Biratnagar,1.7,20,4,credit card,25,clear,heavy,1049
Birgunj,Dharan,9.4,7,4,cash,30,clear,moderate,1182
Chitwan,Biratnagar,6.1,29,4,cash,25,clear,light,1132
Birgunj,Dharan,1.9,6,1,credit card,30,rainy,light,387
Bhaktapur,Butwal,9.7,60,3,credit card,28,clear,light,2073
Kathmandu,Chitwan,6.5,21,4,credit card,16,rainy,light,1386
Kathmandu,Chitwan,4.3,31,1,cash,20,rainy,moderate,885
Dharan,Chitwan,2.7,50,4,cash,26,clear,heavy,1407
Lalitpur,Patan,6.6,50,2,cash,18,clear,moderate,1303
Kathmandu,Butwal,5.1,18,4,credit card,29,rainy,light,1156
Patan,Bhaktapur,7.1,15,2,cash,26,rainy,moderate,1087
Birgunj,Pokhara,8.9,42,3,credit card,28,rainy,heavy,2867
Birgunj,Dharan,8.3,35,2,credit card,18,clear,moderate,1570
Biratnagar,Chitwan,7.7,34,3,credit card,23,rainy,heavy,2502
Biratnagar,Butwal,3.1,32,3,credit card,24,rainy,heavy,1569
Kathmandu,Lalitpur,1.4,50,1,cash,21,rainy,light,796
Dharan,Kathmandu,8.3,17,3,credit card,22,rainy,light,1540
Butwal,Chitwan,4.5,51,2,credit card,29,rainy,heavy,2068
Bhaktapur,Birgunj,4.1,28,3,credit card,17,rainy,moderate,1110
Butwal,Patan,9.0,33,2,cash,22,clear,light,1335
Birgunj,Dharan,4.3,58,3,credit card,20,rainy,moderate,1516
Dharan,Pokhara,8.8,52,4,cash,20,cloudy,light,1550
Lalitpur,Biratnagar,9.4,15,2,credit card,25,clear,light,1439
Biratnagar,Dharan,9.3,54,4,credit card,24,rainy,heavy,3303
Birgunj,Patan,4.8,24,3,cash,22,cloudy,heavy,1281
Lalitpur,Kathmandu,5.1,20,2,credit card,29,rainy,moderate,1111
Kathmandu,Biratnagar,0.9,44,4,credit card,29,clear,light,844
Lalitpur,Pokhara,1.6,48,2,credit card,24,rainy,heavy,1508
Bhaktapur,Patan,0.7,6,1,cash,26,cloudy,heavy,296
Bhaktapur,Patan,3.2,34,4,cash,25,cloudy,light,840
Lalitpur,Dharan,1.5,30,2,cash,16,clear,moderate,518
Kathmandu,Bhaktapur,3.4,42,3,cash,28,clear,moderate,921
Lalitpur,Dharan,6.8,14,1,cash,16,rainy,moderate,969
Pokhara,Chitwan,3.5,23,1,credit card,20,rainy,moderate,802
Bhaktapur,Dharan,9.3,18,3,cash,16,cloudy,light,1278
Butwal,Chitwan,5.6,40,4,credit card,16,rainy,light,1500
Birgunj,Dharan,6.7,43,1,credit card,26,clear,moderate,1422
Pokhara,Lalitpur,5.7,23,4,cash,18,rainy,moderate,1053
Chitwan,Birgunj,2.8,29,2,credit card,21,cloudy,light,821
Patan,Dharan,8.1,55,4,credit card,17,clear,light,1870
Patan,Biratnagar,7.3,15,3,credit card,15,clear,moderate,1272
Pokhara,Dharan,4.0,6,4,credit card,17,rainy,moderate,857
Bhaktapur,Lalitpur,3.9,26,4,credit card,17,rainy,heavy,1730
Dharan,Patan,3.8,48,2,credit card,19,rainy,heavy,1930
Dharan,Kathmandu,9.4,31,2,cash,15,clear,heavy,2023
Lalitpur,Pokhara,2.0,44,2,cash,24,rainy,moderate,830
Patan,Kathmandu,2.1,47,4,credit card,19,rainy,heavy,1693
Chitwan,Kathmandu,5.5,29,3,credit card,26,cloudy,heavy,1832
Chitwan,Birgunj,7.9,9,2,cash,27,rainy,moderate,1048
Pokhara,Kathmandu,3.2,46,2,cash,21,cloudy,light,866
Patan,Dharan,9.2,7,1,cash,24,rainy,heavy,1739
Pokhara,Biratnagar,2.9,59,4,cash,15,cloudy,light,1033
Butwal,Patan,8.8,36,1,credit card,25,cloudy,heavy,2343
Dharan,Butwal,8.0,58,2,credit card,22,cloudy,moderate,1812
Birgunj,Lalitpur,5.2,10,4,cash,30,cloudy,light,800
Lalitpur,Biratnagar,6.6,27,3,cash,15,clear,moderate,1121
Butwal,Pokhara,6.0,19,4,cash,24,cloudy,moderate,955
Patan,Dharan,0.6,51,4,credit card,20,clear,heavy,1386
Pokhara,Kathmandu,6.8,30,2,credit card,22,rainy,heavy,2147
Patan,Chitwan,3.3,21,2,credit card,24,cloudy,light,736
Bhaktapur,Biratnagar,4.3,15,4,cash,17,rainy,heavy,1296
Biratnagar,Butwal,9.8,49,1,cash,22,cloudy,heavy,2323
Dharan,Kathmandu,1.7,60,1,cash,26,clear,light,774
Kathmandu,Chitwan,2.8,55,4,credit card,30,cloudy,light,1188
Kathmandu,Bhaktapur,2.1,15,4,credit card,27,clear,moderate,680
Kathmandu,Pokhara,3.0,8,1,credit card,28,clear,moderate,487
Birgunj,Dharan,5.1,26,1,cash,27,cloudy,heavy,1221
Bhaktapur,Kathmandu,5.2,30,2,cash,28,clear,heavy,1372
Kathmandu,Patan,3.7,46,2,cash,23,cloudy,moderate,938
Biratnagar,Dharan,7.2,12,1,credit card,27,cloudy,heavy,1568
Kathmandu,Chitwan,5.5,51,1,credit card,30,clear,light,1287
Butwal,Birgunj,6.1,59,4,credit card,16,clear,heavy,2542
Biratnagar,Kathmandu,3.2,58,3,credit card,28,cloudy,light,1271
Dharan,Birgunj,6.6,28,3,cash,18,rainy,light,1238
Pokhara,Birgunj,8.3,18,2,credit card,29,clear,moderate,1315
Kathmandu,Birgunj,3.3,54,3,cash,17,clear,heavy,1529
Chitwan,Butwal,0.5,18,4,cash,18,rainy,light,447
Pokhara,Birgunj,2.1,55,2,credit card,15,rainy,heavy,1717
Butwal,Dharan,5.4,14,2,credit card,26,rainy,moderate,1071
Birgunj,Pokhara,1.5,31,3,credit card,30,cloudy,light,695
Patan,Kathmandu,7.4,31,4,credit card,23,rainy,light,1662
Patan,Bhaktapur,5.1,39,2,cash,19,cloudy,light,1001
Chitwan,Pokhara,1.6,52,2,cash,25,rainy,light,876
Pokhara,Lalitpur,6.4,51,4,credit card,24,clear,light,1667
Butwal,Dharan,2.3,23,3,credit card,23,rainy,light,778
Kathmandu,Pokhara,7.1,20,3,cash,25,clear,heavy,1637
Patan,Biratnagar,6.5,39,3,credit card,30,clear,moderate,1406
Bhaktapur,Chitwan,2.7,51,4,credit card,17,cloudy,heavy,1777
Birgunj,Butwal,9.1,55,2,cash,25,cloudy,light,1564
Birgunj,Patan,4.2,6,4,credit card,17,cloudy,light,807
Chitwan,Bhaktapur,5.2,26,1,cash,17,clear,heavy,1292
Lalitpur,Biratnagar,6.9,26,1,credit card,30,clear,light,1154
Butwal,Lalitpur,9.1,50,2,credit card,26,rainy,heavy,2965
Dharan,Kathmandu,3.6,5,3,credit card,25,clear,light,635
Chitwan,Birgunj,4.1,13,2,credit card,21,rainy,heavy,1272
Lalitpur,Kathmandu,9.2,58,2,credit card,30,rainy,light,2082
Chitwan,Bhaktapur,6.4,45,4,cash,29,cloudy,light,1264
Butwal,Patan,2.4,30,4,credit card,17,cloudy,heavy,1379
Bhaktapur,Chitwan,2.3,41,4,cash,30,clear,heavy,1302
Kathmandu,Lalitpur,4.2,43,1,credit card,19,rainy,light,1143
Butwal,Birgunj,2.9,26,4,credit card,28,clear,light,864
Butwal,Chitwan,1.1,46,3,credit card,20,clear,light,838
Lalitpur,Bhaktapur,6.2,25,3,credit card,21,clear,light,1270
Dharan,Pokhara,6.0,52,2,cash,16,rainy,moderate,1335
Bhaktapur,Dharan,3.1,26,1,credit card,27,cloudy,moderate,733
Birgunj,Bhaktapur,4.7,43,4,cash,29,cloudy,moderate,1123
Biratnagar,Butwal,9.5,12,1,cash,18,cloudy,heavy,1674
Biratnagar,Butwal,4.6,12,2,credit card,25,clear,heavy,1194
Pokhara,Biratnagar,3.9,5,2,credit card,27,rainy,heavy,1084
Pokhara,Lalitpur,6.1,20,4,cash,17,rainy,moderate,1074
Pokhara,Bhaktapur,6.4,49,2,cash,19,clear,light,1228
Biratnagar,Kathmandu,6.7,27,4,cash,18,clear,light,1123
Butwal,Chitwan,4.6,59,1,credit card,29,cloudy,heavy,1984
Bhaktapur,Chitwan,0.8,21,4,credit card,20,cloudy,light,618
Chitwan,Pokhara,5.7,41,1,credit card,23,clear,heavy,1816
Patan,Biratnagar,6.6,20,4,cash,26,clear,heavy,1578
Kathmandu,Chitwan,9.5,7,1,cash,25,cloudy,heavy,1580
Chitwan,Dharan,4.2,43,3,cash,19,clear,moderate,952
Bhaktapur,Pokhara,8.9,20,3,cash,30,rainy,moderate,1370
Biratnagar,Kathmandu,2.8,25,4,credit card,26,clear,light,880
Pokhara,Kathmandu,8.4,31,2,credit card,20,rainy,light,1687
Bhaktapur,Birgunj,5.0,40,3,cash,16,clear,light,1086
Kathmandu,Birgunj,6.4,44,1,credit card,16,cloudy,moderate,1332
Bhaktapur,Lalitpur,0.8,44,4,credit card,21,cloudy,heavy,1322
Bhaktapur,Birgunj,7.6,57,1,cash,30,rainy,light,1479
Bhaktapur,Butwal,1.0,49,3,credit card,20,cloudy,heavy,1313
Pokhara,Chitwan,5.5,16,4,cash,23,rainy,light,1030
Pokhara,Biratnagar,3.7,21,2,cash,24,rainy,light,743
Pokhara,Bhaktapur,1.8,34,1,credit card,30,clear,moderate,727
Butwal,Patan,6.4,12,4,cash,30,cloudy,heavy,1420
Lalitpur,Patan,1.6,23,4,credit card,26,clear,heavy,1082
Kathmandu,Biratnagar,7.4,49,3,cash,28,clear,light,1374
Patan,Bhaktapur,4.8,34,2,cash,21,clear,light,905
Dharan,Lalitpur,8.7,39,3,cash,16,cloudy,moderate,1451
Patan,Birgunj,9.4,13,4,credit card,28,rainy,heavy,2542
Birgunj,Chitwan,0.6,16,2,credit card,20,clear,light,367
Pokhara,Dharan,7.5,25,3,cash,21,rainy,light,1245
Birgunj,Dharan,5.2,24,3,cash,16,clear,light,875
Biratnagar,Pokhara,4.2,17,1,credit card,29,cloudy,heavy,1181
Patan,Pokhara,1.8,34,4,cash,30,clear,moderate,697
Birgunj,Pokhara,5.2,33,4,cash,23,cloudy,heavy,1555
Dharan,Butwal,8.2,21,2,cash,15,rainy,moderate,1200
Bhaktapur,Patan,2.2,41,3,credit card,27,cloudy,light,927
Pokhara,Birgunj,4.4,33,1,cash,28,clear,heavy,1182
Birgunj,Bhaktapur,2.8,29,3,credit card,17,rainy,heavy,1389
Birgunj,Kathmandu,10.0,39,1,credit card,21,cloudy,heavy,2613
Bhaktapur,Butwal,4.8,5,1,cash,15,cloudy,heavy,897
Butwal,Dharan,3.3,15,1,credit card,19,cloudy,light,588
Lalitpur,Patan,7.6,31,3,credit card,17,rainy,light,1568
Biratnagar,Patan,6.9,29,4,cash,27,cloudy,light,1179
Chitwan,Pokhara,4.4,22,2,cash,15,cloudy,moderate,755
Pokhara,Kathmandu,1.6,14,1,cash,16,clear,heavy,574
Chitwan,Birgunj,6.1,43,2,cash,24,rainy,light,1256
Biratnagar,Lalitpur,5.2,45,4,cash,18,clear,moderate,1155
Patan,Dharan,2.6,9,2,credit card,16,cloudy,heavy,809
Chitwan,Bhaktapur,4.8,43,1,cash,25,clear,heavy,1415
Kathmandu,Bhaktapur,1.7,28,4,cash,25,clear,light,636
Butwal,Bhaktapur,2.8,23,2,credit card,29,rainy,moderate,786
Patan,Bhaktapur,3.4,10,3,cash,15,cloudy,heavy,856
Patan,Kathmandu,2.7,5,3,credit card,29,rainy,heavy,905
Kathmandu,Patan,6.9,9,4,credit card,27,clear,heavy,1735
Bhaktapur,Patan,6.6,40,3,credit card,26,rainy,moderate,1585
Biratnagar,Butwal,4.6,41,4,credit card,30,rainy,heavy,2114
Patan,Chitwan,3.2,53,1,credit card,19,rainy,heavy,1812
Biratnagar,Lalitpur,1.2,19,3,credit card,19,rainy,moderate,650
Chitwan,Bhaktapur,9.7,21,3,credit card,24,rainy,heavy,2635
Butwal,Kathmandu,5.9,27,3,cash,18,cloudy,moderate,975
Biratnagar,Kathmandu,7.4,48,2,cash,17,clear,light,1336
Biratnagar,Butwal,7.6,40,4,credit card,21,clear,light,1654
Birgunj,Chitwan,1.9,6,1,credit card,20,cloudy,light,319
Biratnagar,Pokhara,5.2,55,2,credit card,15,clear,moderate,1408
Dharan,Pokhara,3.8,57,1,cash,26,cloudy,moderate,1016
Lalitpur,Bhaktapur,7.7,39,4,credit card,23,clear,moderate,1682
Dharan,Pokhara,6.1,48,3,cash,25,cloudy,heavy,1901
Lalitpur,Chitwan,7.0,39,2,cash,26,cloudy,moderate,1156
Butwal,Biratnagar,4.4,47,1,cash,30,cloudy,moderate,999
Biratnagar,Kathmandu,9.8,40,2,cash,20,rainy,light,1635
Dharan,Patan,6.8,34,4,cash,27,rainy,moderate,1373
Birgunj,Chitwan,3.0,38,1,cash,21,rainy,light,764
Pokhara,Butwal,9.9,30,2,credit card,21,cloudy,moderate,1663
Butwal,Biratnagar,0.7,47,1,credit card,20,rainy,light,735
Butwal,Patan,0.6,54,4,cash,28,rainy,moderate,847
Patan,Lalitpur,4.5,6,3,credit card,26,clear,moderate,822
Kathmandu,Lalitpur,7.0,46,4,cash,16,cloudy,heavy,2039
Patan,Birgunj,8.9,50,4,credit card,28,cloudy,light,1904
Dharan,Pokhara,3.5,27,3,cash,18,clear,moderate,778
Lalitpur,Butwal,9.4,39,4,cash,26,clear,moderate,1526
Chitwan,Kathmandu,6.5,41,4,cash,16,clear,heavy,1855
Kathmandu,Biratnagar,2.4,7,1,credit card,30,clear,heavy,619
Dharan,Lalitpur,0.9,36,1,cash,23,cloudy,light,529
Biratnagar,Pokhara,5.8,49,4,credit card,16,cloudy,light,1503
Lalitpur,Bhaktapur,4.7,24,1,credit card,17,cloudy,light,915
Pokhara,Patan,5.8,10,2,cash,16,clear,moderate,798
Dharan,Bhaktapur,2.1,16,1,credit card,17,cloudy,heavy,735
Dharan,Bhaktapur,3.8,59,4,cash,23,rainy,heavy,1885
Birgunj,Lalitpur,3.0,12,3,credit card,22,clear,light,645
Lalitpur,Patan,3.4,35,4,cash,24,rainy,moderate,997
Birgunj,Kathmandu,4.9,21,2,credit card,25,rainy,heavy,1568
Biratnagar,Bhaktapur,4.5,51,4,credit card,18,cloudy,moderate,1411
Birgunj,Dharan,5.2,57,4,cash,28,cloudy,heavy,1957
Patan,Dharan,9.1,56,4,cash,28,clear,moderate,1625
Biratnagar,Patan,7.8,60,1,credit card,19,cloudy,moderate,1701
Dharan,Patan,4.8,36,3,cash,29,cloudy,light,1017
Bhaktapur,Dharan,3.5,32,4,cash,26,cloudy,moderate,874
Pokhara,Birgunj,7.6,6,1,credit card,23,clear,moderate,1019
Kathmandu,Biratnagar,3.3,46,3,cash,18,rainy,moderate,1035
Chitwan,Lalitpur,1.9,44,1,credit card,18,clear,heavy,1191
Dharan,Kathmandu,1.8,53,2,credit card,15,clear,moderate,939
Dharan,Patan,4.4,46,4,credit card,18,rainy,moderate,1467
Chitwan,Dharan,5.6,17,3,cash,28,cloudy,light,894
Bhaktapur,Lalitpur,0.6,40,2,credit card,19,rainy,heavy,1140
Pokhara,Chitwan,8.1,27,4,cash,21,rainy,light,1390
Butwal,Bhaktapur,1.5,29,2,cash,16,rainy,heavy,933
Butwal,Patan,9.6,34,1,credit card,28,rainy,heavy,2715
Kathmandu,Pokhara,6.6,17,1,cash,18,cloudy,heavy,1360
Birgunj,Pokhara,6.3,25,4,credit card,23,rainy,light,1390
Pokhara,Birgunj,6.5,5,4,cash,16,rainy,light,982
Kathmandu,Biratnagar,7.2,59,2,credit card,24,clear,moderate,1738
Dharan,Kathmandu,5.3,16,2,cash,28,cloudy,heavy,1143
Birgunj,Dharan,5.9,28,4,cash,29,cloudy,heavy,1566
Kathmandu,Dharan,1.0,25,4,cash,27,rainy,light,588
Pokhara,Birgunj,8.4,44,2,credit card,25,cloudy,light,1677
Biratnagar,Lalitpur,3.3,18,3,cash,21,cloudy,light,682
Birgunj,Dharan,5.6,8,4,cash,22,cloudy,heavy,1265
Patan,Lalitpur,7.8,9,1,cash,16,rainy,light,965
Bhaktapur,Lalitpur,8.2,58,4,cash,21,cloudy,moderate,1560
Dharan,Biratnagar,8.7,20,3,credit card,24,rainy,light,1622
Biratnagar,Dharan,3.4,28,3,credit card,18,clear,heavy,1400
Bhaktapur,Kathmandu,3.3,5,3,cash,16,rainy,light,590
Kathmandu,Dharan,1.2,39,4,cash,22,clear,heavy,1033
Birgunj,Patan,2.8,38,2,credit card,21,cloudy,heavy,1329
Bhaktapur,Dharan,0.6,38,3,credit card,30,rainy,moderate,736
Butwal,Lalitpur,5.2,46,1,cash,29,cloudy,light,1061
Birgunj,Chitwan,1.2,8,3,credit card,24,clear,light,400
Butwal,Bhaktapur,6.5,23,4,credit card,23,cloudy,light,1273
Dharan,Kathmandu,7.0,12,1,cash,21,rainy,heavy,1407
Patan,Biratnagar,4.6,37,3,credit card,21,rainy,moderate,1284
Chitwan,Pokhara,7.5,41,3,cash,21,rainy,moderate,1425
Lalitpur,Biratnagar,4.8,14,4,credit card,27,cloudy,moderate,987
Kathmandu,Chitwan,6.1,28,2,credit card,26,clear,heavy,1803
Chitwan,Patan,3.9,38,4,cash,20,clear,moderate,1010
Birgunj,Lalitpur,0.8,19,2,credit card,24,cloudy,light,425
Dharan,Patan,9.7,58,3,cash,29,rainy,heavy,2814
Chitwan,Birgunj,9.6,36,2,cash,28,cloudy,heavy,2106
Chitwan,Patan,0.8,39,3,cash,21,cloudy,heavy,915
Bhaktapur,Dharan,6.5,38,2,cash,26,clear,moderate,1159
Pokhara,Lalitpur,7.4,23,2,credit card,19,clear,moderate,1246
Bhaktapur,Pokhara,2.2,54,2,cash,17,cloudy,heavy,1279
Butwal,Pokhara,5.9,60,2,cash,23,clear,moderate,1337
Birgunj,Lalitpur,1.6,56,3,credit card,24,clear,light,1003
Bhaktapur,Biratnagar,5.4,35,2,cash,22,cloudy,heavy,1487
Pokhara,Birgunj,4.7,45,4,credit card,21,cloudy,heavy,2039
Pokhara,Lalitpur,4.4,23,2,credit card,25,clear,light,885
Dharan,Pokhara,9.2,41,2,credit card,27,rainy,moderate,1929
Lalitpur,Birgunj,4.6,49,4,credit card,29,clear,moderate,1430
Pokhara,Butwal,2.7,43,1,credit card,26,cloudy,moderate,950
Bhaktapur,Birgunj,6.5,10,3,credit card,27,clear,heavy,1649
Kathmandu,Pokhara,3.6,28,1,cash,17,cloudy,moderate,728
Birgunj,Lalitpur,3.8,31,2,cash,20,cloudy,light,775
Chitwan,Kathmandu,6.1,26,1,credit card,27,cloudy,moderate,1112
Patan,Chitwan,0.8,59,2,credit card,30,cloudy,moderate,889
